Country Code,Country,Airport ICAO Code,Airport Name,Airport Latitude,Airport Longitude,Operation Type,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g),PM2.5 LTO Emission (g),HC LTO Total mass (g),CO LTO Total Mass (g)
US,United States of America (the),KRST,Rochester International Airport,43.908298,-92.5,Commercial Freighter,472,403061,4944435,55633,130182,3699014
US,United States of America (the),KRST,Rochester International Airport,43.908298,-92.5,General Aviation,7073,89599,257357,18316,1396012,61514652
US,United States of America (the),KUZA,Rock Hill - York County Airport,34.9878006,-81.05719757,Commercial Passenger,828,72156,411902,44828,1095431,4454815
US,United States of America (the),KUZA,Rock Hill - York County Airport,34.9878006,-81.05719757,General Aviation,9100,95295,310552,10370,1746351,75024947
US,United States of America (the),KSIF,Rockingham County NC Shiloh Airport,36.437199,-79.850998,Commercial Passenger,31,2389,11246,1979,34005,159116
US,United States of America (the),KSIF,Rockingham County NC Shiloh Airport,36.437199,-79.850998,General Aviation,3972,38415,116631,3754,1211274,33834269
US,United States of America (the),KRKW,Rockwood Municipal Airport,35.9222984314,-84.6896972656,Commercial Passenger,27,2602,22193,1656,34253,144728
US,United States of America (the),KRKW,Rockwood Municipal Airport,35.9222984314,-84.6896972656,General Aviation,1740,17564,47232,2761,313553,13306064
US,United States of America (the),KRWI,Rocky Mount Wilson Regional Airport,35.8563,-77.891899,Commercial Passenger,398,41622,284176,23837,369004,1744179
US,United States of America (the),KRWI,Rocky Mount Wilson Regional Airport,35.8563,-77.891899,Commercial Freighter,16,12245,88337,4181,222021,297664
US,United States of America (the),KRWI,Rocky Mount Wilson Regional Airport,35.8563,-77.891899,General Aviation,5818,70406,195776,13541,1077482,47164376
US,United States of America (the),KBJC,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,Commercial Passenger,5322,893379,6712675,238110,5801739,28671031
US,United States of America (the),KBJC,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,General Aviation,56118,468370,1536427,50404,10197636,427088417
US,United States of America (the),KROG,Rogers Municipal Airport-Carter Field,36.37229919,-94.10690308,Commercial Passenger,438,37993,202879,29332,521852,2230077
US,United States of America (the),KROG,Rogers Municipal Airport-Carter Field,36.37229919,-94.10690308,Commercial Freighter,1,73,380,87,56,841
US,United States of America (the),KROG,Rogers Municipal Airport-Carter Field,36.37229919,-94.10690308,General Aviation,3752,36374,109885,5523,706808,29805505
US,United States of America (the),KMFR,Rogue Valley International Medford Airport,42.37419891357422,-122.8730010986328,Commercial Passenger,7966,3326984,32484826,269946,3432712,38501867
US,United States of America (the),KMFR,Rogue Valley International Medford Airport,42.37419891357422,-122.8730010986328,Commercial Freighter,815,129297,899044,71189,7411,3275851
US,United States of America (the),KMFR,Rogue Valley International Medford Airport,42.37419891357422,-122.8730010986328,General Aviation,2898,59346,313945,15260,617513,23987715
US,United States of America (the),KFOT,Rohnerville Airport,40.55390167,-124.1330032,Commercial Passenger,403,33960,117704,33542,414241,2174639
US,United States of America (the),KFOT,Rohnerville Airport,40.55390167,-124.1330032,General Aviation,328,6726,16980,3650,85472,2844798
US,United States of America (the),KVIH,Rolla National Airport,38.1273994446,-91.7695007324,Commercial Passenger,141,8301,33019,8239,59897,459739
US,United States of America (the),KVIH,Rolla National Airport,38.1273994446,-91.7695007324,General Aviation,452,4239,12911,444,88179,3893517
US,United States of America (the),KDCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,Commercial Passenger,149703,92562179,1051008433,5694051,70299974,961171823
US,United States of America (the),KDCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,General Aviation,901,511315,5816194,42055,435132,6710219
US,United States of America (the),KRFG,Rooke Field,28.2936,-97.322998,Commercial Passenger,36,2956,5607,2096,15983,258316
US,United States of America (the),KRFG,Rooke Field,28.2936,-97.322998,General Aviation,509,8132,18531,1301,105653,5523632
US,United States of America (the),KCRX,Roscoe Turner Airport,34.9150009155,-88.6035003662,Commercial Passenger,51,3310,14852,3253,48938,201460
US,United States of America (the),KCRX,Roscoe Turner Airport,34.9150009155,-88.6035003662,General Aviation,766,10530,23891,1781,169375,7466619
US,United States of America (the),KHTL,Roscommon County - Blodgett Memorial Airport,44.359798,-84.671095,Commercial Passenger,25,2853,19768,1599,27803,108777
US,United States of America (the),KHTL,Roscommon County - Blodgett Memorial Airport,44.359798,-84.671095,General Aviation,835,8653,21766,1790,155084,6419401
US,United States of America (the),KSUO,Rosebud Sioux Tribal Airport,43.2585,-100.85952,Commercial Passenger,1340,71967,306105,91781,1109462,4286745
US,United States of America (the),KSUO,Rosebud Sioux Tribal Airport,43.2585,-100.85952,General Aviation,80,1100,3434,618,21724,637779
US,United States of America (the),KRBG,Roseburg Regional Airport,43.238800048799995,-123.356002808,Commercial Passenger,442,21695,119030,25770,129375,808497
US,United States of America (the),KRBG,Roseburg Regional Airport,43.238800048799995,-123.356002808,Commercial Freighter,105,9666,14892,8910,9325,833017
US,United States of America (the),KRBG,Roseburg Regional Airport,43.238800048799995,-123.356002808,General Aviation,344,4555,11581,972,86796,3738833
US,United States of America (the),KSTJ,Rosecrans Memorial Airport,39.771900177002,-94.909698486328,Commercial Passenger,326,102597,363831,37646,210087,974731
US,United States of America (the),KSTJ,Rosecrans Memorial Airport,39.771900177002,-94.909698486328,General Aviation,1439,86558,229247,25301,292867,13079453
US,United States of America (the),KRZT,Ross County Airport,39.440399,-83.023102,Commercial Passenger,48,4266,31974,2608,64390,254010
US,United States of America (the),KRZT,Ross County Airport,39.440399,-83.023102,Commercial Freighter,7,1859,11771,1165,48726,66897
US,United States of America (the),KRZT,Ross County Airport,39.440399,-83.023102,General Aviation,577,8224,31956,1411,139651,4939889
US,United States of America (the),KFWQ,Rostraver Airport,40.209702,-79.831398,Commercial Passenger,22,1533,8112,1019,23892,95117
US,United States of America (the),KFWQ,Rostraver Airport,40.209702,-79.831398,General Aviation,2126,19594,57349,2341,398270,16986028
US,United States of America (the),KROW,Roswell Air Center Airport,33.301601,-104.530998,Commercial Passenger,1998,611532,5572570,92089,952618,8716972
US,United States of America (the),KROW,Roswell Air Center Airport,33.301601,-104.530998,Commercial Freighter,3,4970,78934,211,9408,42554
US,United States of America (the),KROW,Roswell Air Center Airport,33.301601,-104.530998,General Aviation,366,7776,34325,1944,110108,3515023
US,United States of America (the),KROS,Rush City Regional Airport,45.698002,-92.953003,Commercial Passenger,20,2924,11123,1441,22424,70965
US,United States of America (the),KROS,Rush City Regional Airport,45.698002,-92.953003,General Aviation,1426,30642,47623,15204,255605,11676907
US,United States of America (the),KRCX,Rusk County Airport,45.496799,-91.000504,Commercial Passenger,16,2209,13218,1420,13863,96302
