,Country,Airport Name,Airport Latitude,Airport Longitude,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g)
917,China,Kunming Changshui International Airport,25.110313,102.936743,155083,128282222,1661565528
921,Kuwait,Kuwait International Airport,29.226601,47.968899,61338,70552075,1218834040
925,Guatemala,La Aurora Airport,14.5833,-90.527496,45847,15896928,208372179
929,United States of America (the),La Guardia Airport,40.777199,-73.872597,186131,116802607,1375752691
933,United States of America (the),Lakeland Linder International Airport,27.987656,-82.018776,42671,5637029,76905865
937,United States of America (the),Lancaster Airport,32.577564,-96.717494,5922,53820,197983
938,United States of America (the),Lancaster Airport,40.121700286865234,-76.29609680175781,25008,306106,1180696
944,China,Lanzhou Zhongchuan International Airport,36.515202,103.620003,54381,44180873,601573453
948,Cyprus,Larnaca International Airport,34.875099,33.624901,28700,24137362,366632537
952,Dominican Republic (the),Las Américas International Airport,18.42970085144,-69.668899536133,25575,22110841,317337493
956,United States of America (the),Laurence G Hanscom Field,42.470001,-71.289001,26029,928655,6369804
960,United States of America (the),Leesburg Executive Airport,39.077999,-77.557503,23352,302162,1364710
964,United States of America (the),Leesburg International Airport,28.82309914,-81.80870056,35469,338024,1148702
968,Germany,Leipzig/Halle Airport,51.420657,12.232705,37859,51895957,823763680
972,United States of America (the),Lewis University Airport,41.6072998,-88.09619904,24285,238461,921671
976,China,Lijiang Sanyi International Airport,26.68,100.246002,26601,22341612,310308557
979,United States of America (the),Livermore Municipal Airport,37.6934013367,-121.819999695,29680,318018,999368
982,United Kingdom of Great Britain and Northern Ireland (the),Liverpool John Lennon Airport,53.333599,-2.84972,22151,11445505,141502144
986,United States of America (the),Logan International Airport,42.36197,-71.0079,193348,144993331,1997799830
990,United Kingdom of Great Britain and Northern Ireland (the),London City Airport,51.505299,0.055278,25688,14742156,144232384
994,United Kingdom of Great Britain and Northern Ireland (the),London Gatwick Airport,51.148771,-0.192089,129360,117152665,1761182027
998,United Kingdom of Great Britain and Northern Ireland (the),London Heathrow Airport,51.4706,-0.461941,232122,330189908,6131875959
1002,United Kingdom of Great Britain and Northern Ireland (the),London Luton Airport,51.874699,-0.368333,52713,41517787,562972960
1006,United Kingdom of Great Britain and Northern Ireland (the),London Stansted Airport,51.884998,0.235,93168,73277281,957220120
1010,United States of America (the),Long Beach Airport (Daugherty Field),33.816523,-118.149891,74053,13694020,173770795
1014,United States of America (the),Long Island Mac Arthur Airport,40.79520035,-73.10019684,30655,4096486,48782543
1017,United States of America (the),Los Angeles International Airport,33.942501,-118.407997,279712,304260172,4844916208
1021,United States of America (the),Louis Armstrong New Orleans International Airport,29.993401,-90.258003,58117,45192503,595044099
1025,United States of America (the),Louisville Muhammad Ali International Airport,38.1744,-85.736,80170,113951539,1545891080
1029,United States of America (the),Lubbock Preston Smith International Airport,33.663601,-101.822998,24537,6681799,76489667
1033,Puerto Rico,Luis Munoz Marin International Airport,18.4394,-66.001801,69830,43965716,626187481
1037,China,Luoyang Beijiao Airport,34.7411,112.388,50234,4693701,55924005
1040,Luxembourg,Luxembourg-Findel International Airport,49.6233333,6.2044444,36886,35681223,477123826
1044,Bahamas (the),Lynden Pindling International Airport,25.039,-77.466202,50331,15989301,205729732
1048,France,Lyon Saint-Exupéry Airport,45.725556,5.081111,43869,34467216,457823506
1052,Philippines (the),Mactan Cebu International Airport,10.309261,123.97974,43198,27647410,417375047
1056,Malta,Malta International Airport,35.857498,14.4775,29060,20800229,286602074
1060,Maldives,Malé International Airport,4.191830158233643,73.52909851074219,46512,25752158,465055220
1064,United States of America (the),Manassas Regional Airport/Harry P. Davis Field,38.72140121,-77.51540375,25233,408347,1712474
1067,United Kingdom of Great Britain and Northern Ireland (the),Manchester Airport,53.349375,-2.279521,88966,79863918,1152966882
1071,United States of America (the),Mankato Regional Airport,44.224781,-93.919128,22657,264031,689164
1074,Ecuador,Mariscal Sucre International Airport,-0.125399,-78.354306,25487,28344205,417769960
1078,France,Marseille Provence Airport,43.438088,5.2125,45995,33486070,430229192
1082,United States of America (the),McClellan-Palomar Airport,33.1283,-117.279999,38342,555783,2676112
1085,United States of America (the),McGhee Tyson Airport,35.811001,-83.994003,35654,12298154,142934884
1089,United States of America (the),McKinney National Airport,33.177898,-96.5905,27845,347871,1407757
1092,United States of America (the),Meadows Field,35.433601,-119.056999,22037,1808551,16609196
1096,Australia,Melbourne International Airport,-37.673302,144.843002,117755,110357919,1612304690
1100,Australia,Melbourne Moorabbin Airport,-37.975799560546875,145.1020050048828,38514,528141,1738033
1103,United States of America (the),Melbourne Orlando International Airport,28.1028,-80.645302,48952,3527780,40964384
1107,United States of America (the),Memphis International Airport,35.0424,-89.9767,100164,126909035,1755476338
